identificacion,lote,nombre_dm,fabricante,dispositivo_medico,numero_reusos,numero_esterilizacion,metodo_esterilizacion,fecha_compra,cantidad_piezas,esterilizador,fecha_vencimiento
140 201,m,Filtro antibacteriano,Plasti-med,Filtro,4,3,Esterilizacion por Autoclave,02/04/2024,1,Autoclave,28/02/2025
TR-091-20,m,Tubo de succión Adson,SURTEX,Tubo,3,2,Esterilizacion por Autoclave,03/04/2024,1,Autoclave,28/02/2025
FH603026,m,Filtro antibacteriano,SunMed,Filtro,2,1,Esterilizacion por Autoclave,04/04/2024,1,Autoclave,28/02/2025
RT-742-13,m,Retractor de autorretención Adson (cono),SURTEX,Retractor,2,1,Esterilizacion por Autoclave,05/04/2024,1,Autoclave,28/02/2025
FR-240-15,m,Pinza de disección de Adlercreutz,SURTEX,Pinza,4,3,Esterilizacion por Autoclave,06/04/2024,1,Autoclave,28/02/2025
RT-530-20,m,Espátula abdominal,SURTEX,Retractor,4,3,Esterilizacion por Autoclave,07/04/2024,1,Autoclave,28/02/2025
RT-686-20,m,Retractor de autorretención Anderson-Adson,SURTEX,Retractor,5,4,Esterilizacion por Autoclave,08/04/2024,1,Autoclave,28/02/2025
RT-672-10,m,Esparcidor de heridas Allport,SURTEX,Retractor,2,1,Esterilizacion por Autoclave,09/04/2024,1,Autoclave,28/02/2025
SI-020-16,m,Pinza de agarre de tejido e intestino Allis Atrauma,SURTEX,Pinza,2,1,Esterilizacion por Autoclave,10/04/2024,1,Autoclave,28/02/2025
AF-350-20,m,Pinza de arteria Bengolea,SURTEX,Pinza,3,2,Esterilizacion por Autoclave,11/04/2024,1,Autoclave,28/02/2025
SS-556-10,m,Abeja Tijera Corona Abeja,SURTEX,Tijera,3,2,Esterilizacion por Autoclave,12/04/2024,1,Autoclave,28/02/2025
RT-766-32,m,Retractor de autorretención Beckmann-Eaton,SURTEX,Retractor,3,2,Esterilizacion por Autoclave,13/04/2024,1,Autoclave,28/02/2025
SL-010-03,m,Mango de bisturí Bard-Parker nº 3,SURTEX,Bisturi,2,1,Esterilizacion por Autoclave,14/04/2024,1,Autoclave,28/02/2025
SI-062-16,m,Pinza de agarre de tejidos y intestinos,SURTEX,Pinza,5,4,Esterilizacion por Autoclave,15/04/2024,1,Autoclave,28/02/2025
SU-845-25,m,Aguja de ligadura Claus Van Eicken,SURTEX,Pasador,4,3,Esterilizacion por Autoclave,16/04/2024,1,Autoclave,28/02/2025
RT-361-20,m,Retractor de Buchs,SURTEX,Retractor,5,4,Esterilizacion por Autoclave,17/04/2024,1,Autoclave,28/02/2025
FR-300-20,m,Pinza de disección Brophy,SURTEX,Pinza,5,4,Esterilizacion por Autoclave,18/04/2024,1,Autoclave,28/02/2025
SF-200-26,m,Pinza de sujeción de esponja Bozeman,SURTEX,Pinza,3,2,Esterilizacion por Autoclave,19/04/2024,1,Autoclave,28/02/2025
SU-611-20,m,Portaagujas Bozeman,SURTEX,Pasador,2,1,Esterilizacion por Autoclave,20/04/2024,1,Autoclave,28/02/2025
AF-346-18,m,Pinza arterial Birkett,SURTEX,Pinza,4,3,Esterilizacion por Autoclave,21/04/2024,1,Autoclave,28/02/2025
M9293,m,Filtro antibacteriano,Medikro,Filtro,2,1,Esterilizacion por Autoclave,22/04/2024,1,Autoclave,28/02/2025
RT-423-01,m,Retractor decano,SURTEX,Retractor,3,2,Esterilizacion por Autoclave,23/04/2024,1,Autoclave,28/02/2025
SS-074-17,m,Tijera Ginecológica Doyen,SURTEX,Tijera,2,1,Esterilizacion por Autoclave,24/04/2024,1,Autoclave,28/02/2025
AF-581-21,m,Abrazadera para conducto biliar Desjardins,SURTEX,Pinza,5,4,Esterilizacion por Autoclave,25/04/2024,1,Autoclave,28/02/2025
SS-261-17,m,Tijera De Arteriotomía Debakey,SURTEX,Tijera,4,3,Esterilizacion por Autoclave,26/04/2024,1,Autoclave,28/02/2025
SS-030-14,m,Tijera operativa Deaver,SURTEX,Tijera,2,1,Esterilizacion por Autoclave,27/04/2024,1,Autoclave,28/02/2025
RT-172-07,m,Retractor de tapa Cushing,SURTEX,Retractor,5,4,Esterilizacion por Autoclave,28/04/2024,1,Autoclave,28/02/2025
TR-281-35,m,Tubo de succión Cooley,SURTEX,Tubo,4,3,Esterilizacion por Autoclave,29/04/2024,1,Autoclave,28/02/2025
RT-820-00,m,Retractor de retención automática Collin-Baby,SURTEX,Retractor,3,2,Esterilizacion por Autoclave,30/04/2024,1,Autoclave,28/02/2025
AF-130-17,m,Pinza de agarre de tumor de Collin,SURTEX,Pinza,2,1,Esterilizacion por Autoclave,01/05/2024,1,Autoclave,28/02/2025
SL-032-09,m,Mango de bisturí Collin nº 9,SURTEX,Bisturi,3,2,Esterilizacion por Autoclave,02/05/2024,1,Autoclave,28/02/2025
SU-953-19,m,Conductor de ligadura Schmieden-Payr,SURTEX,Pasador,2,1,Esterilizacion por Autoclave,03/05/2024,1,Autoclave,28/02/2025
AN-100-10,m,Laringoscopio Miller,SURTEX,Langiroscopio,2,1,Esterilizacion por Autoclave,04/05/2024,1,Autoclave,28/02/2025
472-109,m,Filtro Antibacteriano Para Equipo De Anestesia,Intersugical,Filtro,2,1,Esterilizacion por Autoclave,05/05/2024,1,Autoclave,28/02/2025
SU-843-18,m,Aguja de ligadura Jonesco,SURTEX,Pasador,5,4,Esterilizacion por Autoclave,06/05/2024,1,Autoclave,28/02/2025
RT-910-00,m,Retractor de autorretención Golligher,SURTEX,Retractor,5,4,Esterilizacion por Autoclave,07/05/2024,1,Autoclave,28/02/2025
AN-610-02,m,Laringoscopio McCoy,SURTEX,Langiroscopio,4,3,Esterilizacion por Autoclave,08/05/2024,4,Autoclave,28/02/2025
AN-200-00,m,Laringoscopio McIntosh,SURTEX,Langiroscopio,3,2,Esterilizacion por Autoclave,09/05/2024,5,Autoclave,28/02/2025
TR-301-3,m,Tubo de aspiración Finsterer,SURTEX,Tubo,3,2,Esterilizacion por Autoclave,10/05/2024,1,Autoclave,28/02/2025
08.321.15,m,Tijeras Reynolds Cat,DIMEDA,Tijera,3,2,Esterilizacion por Autoclave,11/05/2024,1,Autoclave,28/02/2025
08.802.09,m,Tijera Spencer Para Retiro De Puntos De 9 Cms,DIMEDA,Tijera,3,2,Esterilizacion por Autoclave,12/05/2024,1,Autoclave,28/02/2025
07.285.15,m,Tijera Metzembaum Curva Tc,DIMEDA,Tijera,3,2,Esterilizacion por Autoclave,13/05/2024,1,Autoclave,28/02/2025
160176n,m,Conjunto de válvula espiratoria,Hamilton Medical,Valvula,2,1,Esterilizacion por Autoclave,14/05/2024,1,Autoclave,28/02/2025
50.250.28,m,Amigdalotomo Eves Sin Cremallera,DIMEDA,Pasador,2,1,Esterilizacion por Autoclave,15/05/2024,1,Autoclave,28/02/2025
66.201.08,m,Bujia Dilatadoravan Buren No. 8,DIMEDA,Pasador,2,1,Esterilizacion por Autoclave,16/05/2024,1,Autoclave,28/02/2025
70.303.02,m,Especulo Doyen De 85X45Mm,DIMEDA,Retractor,5,4,Esterilizacion por Autoclave,17/05/2024,1,Autoclave,28/02/2025
